TITLE,ARTIST,COMPANY,COUNTRY,PRICE,YEAR
Empire Burlesque,Bob Dylan,Columbia,USA,10.90,1985
Hide your heart,Bonnie Tyler,CBS Records,UK,9.90,1988
Greatest Hits,Dolly Parton,RCA,USA,9.90,1982
Still got the blues,Gary Moore,Virgin records,UK,10.20,1990
Eros,Eros Ramazzotti,BMG,EU,9.90,1997
One night only,Bee Gees,Polydor,UK,10.90,1998
Sylvias Mother,Dr.Hook,CBS,UK,8.10,1973
Maggie May,Rod Stewart,Pickwick,UK,8.50,1990
Romanza,Andrea Bocelli,Polydor,EU,10.80,1996
When a man loves a woman,Percy Sledge,Atlantic,USA,8.70,1987
Black angel,Savage Rose,Mega,EU,10.90,1995
1999 Grammy Nominees,Many,Grammy,USA,10.20,1999
For the good times,Kenny Rogers,Mucik Master,UK,8.70,1995
Big Willie style,Will Smith,Columbia,USA,9.90,1997
Tupelo Honey,Van Morrison,Polydor,UK,8.20,1971
Soulsville,Jorn Hoel,WEA,Norway,7.90,1996
The very best of,Cat Stevens,Island,UK,8.90,1990
Stop,Sam Brown,A and M,UK,8.90,1988
Bridge of Spies,T'Pau,Siren,UK,7.90,1987
Private Dancer,Tina Turner,Capitol,UK,8.90,1983
Midt om natten,Kim Larsen,Medley,EU,7.80,1983
Pavarotti Gala Concert,Luciano Pavarotti,DECCA,UK,9.90,1991
The dock of the bay,Otis Redding,Stax Records,USA,7.90,1968
Picture book,Simply Red,Elektra,EU,7.20,1985
Red,The Communards,London,UK,7.80,1987
Unchain my heart,Joe Cocker,EMI,USA,8.20,1987
